review_id,student_id,instructor_id,course_id,review_text,rating_score,sentiment_label,sentiment_score,dominant_topic,confidence_level,keyword_tags
75,1120,52,128,I didn’t gain much from this course. It felt rushed and unstructured.,1,Negative,-0.993,6,0.796,didnt gain
76,2038,39,44,The instructor was hard to follow and rarely responded to questions.,1,Negative,-0.994,7,0.797,"instructor, hard, follow"
77,2184,5,3,Too fast-paced and lacked clear explanations.,1,Negative,-0.993,4,0.759,clear explanation
78,1714,1,103,The instructor was hard to follow and rarely responded to questions.,2,Negative,-0.994,7,0.797,"instructor, hard, follow"
79,499,2,99,The instructor was very clear and made the course enjoyable.,5,Positive,0.993,1,0.757,"instructor, clear, made"
80,2996,6,150,Too fast-paced and lacked clear explanations.,1,Negative,-0.993,4,0.759,clear explanation
81,1008,20,105,Excellent pacing and real-world examples. Highly recommend!,4,Positive,0.994,2,0.797,realworld example
82,1431,52,80,Neither bad nor great – just an average learning experience.,3,Neutral,0.0,0,0.781,bad great average learning experience
83,137,62,76,Not engaging at all. I struggled to stay focused throughout.,2,Negative,-0.994,5,0.76,"engaging, struggled, stay"
84,580,17,4,Too fast-paced and lacked clear explanations.,2,Negative,-0.993,4,0.759,clear explanation
85,2560,42,34,The feedback was delayed and often unhelpful.,1,Negative,-0.994,3,0.729,"feedback, delayed, often"
86,1074,32,88,Excellent pacing and real-world examples. Highly recommend!,5,Positive,0.994,2,0.797,realworld example
87,1721,16,131,The feedback was delayed and often unhelpful.,2,Negative,-0.994,3,0.729,"feedback, delayed, often"
88,164,16,88,The course structure and delivery exceeded my expectations.,4,Positive,0.994,1,0.78,course structure delivery
89,1254,40,22,The course structure and delivery exceeded my expectations.,4,Positive,0.994,1,0.78,course structure delivery
90,624,15,74,"Decent course, though it lacked in-depth discussion.",3,Neutral,0.0,1,0.778,"decent course, indepth discussion"
91,1253,67,69,The course structure and delivery exceeded my expectations.,4,Positive,0.994,1,0.78,course structure delivery
92,2624,74,58,The instructor was very clear and made the course enjoyable.,4,Positive,0.993,1,0.757,"instructor, clear, made"
93,2023,42,97,The course structure and delivery exceeded my expectations.,5,Positive,0.994,1,0.78,course structure delivery
94,2191,9,67,I didn’t gain much from this course. It felt rushed and unstructured.,1,Negative,-0.993,6,0.796,didnt gain
95,2698,4,23,"The instructor was fine, but the pace felt a bit off.",3,Neutral,0.0,6,0.78,fine pace
96,57,2,73,The feedback was delayed and often unhelpful.,1,Negative,-0.994,3,0.729,"feedback, delayed, often"
97,777,30,118,"The course was okay, but I expected more practical examples.",3,Neutral,0.0,3,0.779,"course okay, practical example"
98,423,22,135,I appreciated the timely feedback and engaging content.,4,Positive,0.993,2,0.781,timely feedback
99,491,67,133,I didn’t gain much from this course. It felt rushed and unstructured.,2,Negative,-0.993,6,0.796,didnt gain
100,1833,5,24,The course structure and delivery exceeded my expectations.,4,Positive,0.994,1,0.78,course structure delivery
101,354,48,147,Neither bad nor great – just an average learning experience.,3,Neutral,0.0,0,0.781,bad great average learning experience
102,2840,32,84,Too fast-paced and lacked clear explanations.,2,Negative,-0.993,4,0.759,clear explanation
103,1843,2,77,The feedback was delayed and often unhelpful.,2,Negative,-0.994,3,0.729,"feedback, delayed, often"
104,1465,75,83,"The course was okay, but I expected more practical examples.",3,Neutral,0.0,3,0.779,"course okay, practical example"
105,2250,2,150,Great teaching style – the explanations were easy to follow.,5,Positive,0.993,0,0.797,great teaching style explanation
106,638,67,36,I didn’t gain much from this course. It felt rushed and unstructured.,1,Negative,-0.993,6,0.796,didnt gain
107,2373,55,49,Not engaging at all. I struggled to stay focused throughout.,1,Negative,-0.994,5,0.76,"engaging, struggled, stay"
108,2854,62,123,I didn’t gain much from this course. It felt rushed and unstructured.,2,Negative,-0.993,6,0.796,didnt gain
109,465,70,129,Not engaging at all. I struggled to stay focused throughout.,2,Negative,-0.994,5,0.76,"engaging, struggled, stay"
110,1375,32,78,The instructor was very clear and made the course enjoyable.,5,Positive,0.993,1,0.757,"instructor, clear, made"
111,731,50,58,The course structure and delivery exceeded my expectations.,5,Positive,0.994,1,0.78,course structure delivery
112,1179,29,95,"Decent course, though it lacked in-depth discussion.",3,Neutral,0.0,1,0.778,"decent course, indepth discussion"
113,2649,63,4,Excellent pacing and real-world examples. Highly recommend!,4,Positive,0.994,2,0.797,realworld example
114,1190,47,49,I appreciated the timely feedback and engaging content.,5,Positive,0.993,2,0.781,timely feedback
115,639,31,70,The feedback was delayed and often unhelpful.,1,Negative,-0.994,3,0.729,"feedback, delayed, often"
116,137,65,145,"The instructor was fine, but the pace felt a bit off.",3,Neutral,0.0,6,0.78,fine pace
117,1251,28,135,Not engaging at all. I struggled to stay focused throughout.,2,Negative,-0.994,5,0.76,"engaging, struggled, stay"
118,614,72,41,Great teaching style – the explanations were easy to follow.,4,Positive,0.993,0,0.797,great teaching style explanation
119,1853,49,135,Not engaging at all. I struggled to stay focused throughout.,1,Negative,-0.994,5,0.76,"engaging, struggled, stay"
120,281,6,92,The instructor was hard to follow and rarely responded to questions.,1,Negative,-0.994,7,0.797,"instructor, hard, follow"
121,1257,56,150,Not engaging at all. I struggled to stay focused throughout.,2,Negative,-0.994,5,0.76,"engaging, struggled, stay"
122,898,27,129,I appreciated the timely feedback and engaging content.,4,Positive,0.993,2,0.781,timely feedback
123,1086,46,130,The course structure and delivery exceeded my expectations.,4,Positive,0.994,1,0.78,course structure delivery
124,1017,49,39,Great teaching style – the explanations were easy to follow.,5,Positive,0.993,0,0.797,great teaching style explanation
125,1178,70,19,I didn’t gain much from this course. It felt rushed and unstructured.,1,Negative,-0.993,6,0.796,didnt gain
126,1526,63,93,I appreciated the timely feedback and engaging content.,5,Positive,0.993,2,0.781,timely feedback
127,2178,53,140,The instructor was very clear and made the course enjoyable.,5,Positive,0.993,1,0.757,"instructor, clear, made"
128,2838,59,78,Neither bad nor great – just an average learning experience.,3,Neutral,0.0,0,0.781,bad great average learning experience
129,730,38,119,The feedback was delayed and often unhelpful.,1,Negative,-0.994,3,0.729,"feedback, delayed, often"
130,348,3,10,The instructor was hard to follow and rarely responded to questions.,1,Negative,-0.994,7,0.797,"instructor, hard, follow"
131,215,32,88,The feedback was delayed and often unhelpful.,2,Negative,-0.994,3,0.729,"feedback, delayed, often"
132,1330,13,119,Too fast-paced and lacked clear explanations.,2,Negative,-0.993,4,0.759,clear explanation
133,528,36,79,Great teaching style – the explanations were easy to follow.,5,Positive,0.993,0,0.797,great teaching style explanation
134,981,55,10,Not engaging at all. I struggled to stay focused throughout.,1,Negative,-0.994,5,0.76,"engaging, struggled, stay"
135,2070,39,95,"Content was decent, but the delivery could have been better.",3,Neutral,0.0,2,0.759,decent delivery
136,2065,10,76,The course structure and delivery exceeded my expectations.,4,Positive,0.994,1,0.78,course structure delivery
137,687,61,8,The instructor was hard to follow and rarely responded to questions.,1,Negative,-0.994,7,0.797,"instructor, hard, follow"
138,859,66,143,I appreciated the timely feedback and engaging content.,4,Positive,0.993,2,0.781,timely feedback
139,465,63,34,The instructor was very clear and made the course enjoyable.,5,Positive,0.993,1,0.757,"instructor, clear, made"
140,1777,49,109,Excellent pacing and real-world examples. Highly recommend!,5,Positive,0.994,2,0.797,realworld example
141,1030,70,127,I appreciated the timely feedback and engaging content.,5,Positive,0.993,2,0.781,timely feedback
142,357,58,50,Too fast-paced and lacked clear explanations.,2,Negative,-0.993,4,0.759,clear explanation
143,120,53,45,"Decent course, though it lacked in-depth discussion.",3,Neutral,0.0,1,0.778,"decent course, indepth discussion"
144,127,60,42,Excellent pacing and real-world examples. Highly recommend!,4,Positive,0.994,2,0.797,realworld example
145,2089,47,99,I appreciated the timely feedback and engaging content.,5,Positive,0.993,2,0.781,timely feedback
146,2059,63,68,I didn’t gain much from this course. It felt rushed and unstructured.,2,Negative,-0.993,6,0.796,didnt gain
147,561,7,85,The instructor was hard to follow and rarely responded to questions.,1,Negative,-0.994,7,0.797,"instructor, hard, follow"
148,2390,1,91,Too fast-paced and lacked clear explanations.,1,Negative,-0.993,4,0.759,clear explanation
149,2912,37,90,The feedback was delayed and often unhelpful.,1,Negative,-0.994,3,0.729,"feedback, delayed, often"
150,955,48,4,The course structure and delivery exceeded my expectations.,5,Positive,0.994,1,0.78,course structure delivery
151,2328,23,88,The feedback was delayed and often unhelpful.,2,Negative,-0.994,3,0.729,"feedback, delayed, often"
152,1522,11,94,"Decent course, though it lacked in-depth discussion.",3,Neutral,0.0,1,0.778,"decent course, indepth discussion"
153,2666,18,46,The instructor was very clear and made the course enjoyable.,5,Positive,0.993,1,0.757,"instructor, clear, made"
154,585,9,56,The instructor was very clear and made the course enjoyable.,4,Positive,0.993,1,0.757,"instructor, clear, made"
155,886,75,146,Too fast-paced and lacked clear explanations.,2,Negative,-0.993,4,0.759,clear explanation
156,2403,65,114,Neither bad nor great – just an average learning experience.,3,Neutral,0.0,0,0.781,bad great average learning experience
157,1345,13,42,The instructor was hard to follow and rarely responded to questions.,2,Negative,-0.994,7,0.797,"instructor, hard, follow"
158,1847,69,108,The course structure and delivery exceeded my expectations.,4,Positive,0.994,1,0.78,course structure delivery
159,2860,52,75,"Content was decent, but the delivery could have been better.",3,Neutral,0.0,2,0.759,decent delivery
160,15,59,10,I appreciated the timely feedback and engaging content.,4,Positive,0.993,2,0.781,timely feedback
161,2645,48,147,I appreciated the timely feedback and engaging content.,5,Positive,0.993,2,0.781,timely feedback
162,1011,12,45,Great teaching style – the explanations were easy to follow.,5,Positive,0.993,0,0.797,great teaching style explanation
163,1296,15,23,The instructor was very clear and made the course enjoyable.,5,Positive,0.993,1,0.757,"instructor, clear, made"
164,1423,35,33,The instructor was hard to follow and rarely responded to questions.,2,Negative,-0.994,7,0.797,"instructor, hard, follow"
165,2683,22,97,The feedback was delayed and often unhelpful.,2,Negative,-0.994,3,0.729,"feedback, delayed, often"
166,1109,66,72,The course structure and delivery exceeded my expectations.,4,Positive,0.994,1,0.78,course structure delivery
167,1252,50,84,"The instructor was fine, but the pace felt a bit off.",3,Neutral,0.0,6,0.78,fine pace
168,1284,9,146,"Content was decent, but the delivery could have been better.",3,Neutral,0.0,2,0.759,decent delivery
169,1378,36,129,The instructor was hard to follow and rarely responded to questions.,2,Negative,-0.994,7,0.797,"instructor, hard, follow"
170,2195,47,17,Not engaging at all. I struggled to stay focused throughout.,1,Negative,-0.994,5,0.76,"engaging, struggled, stay"
171,1087,58,96,The feedback was delayed and often unhelpful.,1,Negative,-0.994,3,0.729,"feedback, delayed, often"
172,1520,28,66,Too fast-paced and lacked clear explanations.,2,Negative,-0.993,4,0.759,clear explanation
173,618,65,144,Too fast-paced and lacked clear explanations.,1,Negative,-0.993,4,0.759,clear explanation
174,1726,1,44,Excellent pacing and real-world examples. Highly recommend!,5,Positive,0.994,2,0.797,realworld example
175,2298,4,83,Great teaching style – the explanations were easy to follow.,4,Positive,0.993,0,0.797,great teaching style explanation
176,1842,26,54,"The course was okay, but I expected more practical examples.",3,Neutral,0.0,3,0.779,"course okay, practical example"
177,2129,71,117,The instructor was very clear and made the course enjoyable.,4,Positive,0.993,1,0.757,"instructor, clear, made"
178,213,58,111,Too fast-paced and lacked clear explanations.,2,Negative,-0.993,4,0.759,clear explanation
179,2123,55,109,"Decent course, though it lacked in-depth discussion.",3,Neutral,0.0,1,0.778,"decent course, indepth discussion"
180,314,71,149,The course structure and delivery exceeded my expectations.,5,Positive,0.994,1,0.78,course structure delivery
181,2536,14,114,Not engaging at all. I struggled to stay focused throughout.,2,Negative,-0.994,5,0.76,"engaging, struggled, stay"
182,1640,72,138,Not engaging at all. I struggled to stay focused throughout.,2,Negative,-0.994,5,0.76,"engaging, struggled, stay"
183,2899,46,89,The instructor was hard to follow and rarely responded to questions.,1,Negative,-0.994,7,0.797,"instructor, hard, follow"
184,120,75,63,"The instructor was fine, but the pace felt a bit off.",3,Neutral,0.0,6,0.78,fine pace
185,967,7,130,Excellent pacing and real-world examples. Highly recommend!,5,Positive,0.994,2,0.797,realworld example
186,2224,1,136,The feedback was delayed and often unhelpful.,1,Negative,-0.994,3,0.729,"feedback, delayed, often"
187,526,64,72,The instructor was very clear and made the course enjoyable.,4,Positive,0.993,1,0.757,"instructor, clear, made"
188,500,12,94,The course structure and delivery exceeded my expectations.,4,Positive,0.994,1,0.78,course structure delivery
189,965,16,17,Not engaging at all. I struggled to stay focused throughout.,1,Negative,-0.994,5,0.76,"engaging, struggled, stay"
190,1096,70,95,"Decent course, though it lacked in-depth discussion.",3,Neutral,0.0,1,0.778,"decent course, indepth discussion"
191,2650,25,58,I appreciated the timely feedback and engaging content.,5,Positive,0.993,2,0.781,timely feedback
192,1025,3,27,"The instructor was fine, but the pace felt a bit off.",3,Neutral,0.0,6,0.78,fine pace
193,2387,51,71,The instructor was very clear and made the course enjoyable.,5,Positive,0.993,1,0.757,"instructor, clear, made"
194,1359,14,7,Too fast-paced and lacked clear explanations.,1,Negative,-0.993,4,0.759,clear explanation
195,2352,57,27,The instructor was very clear and made the course enjoyable.,4,Positive,0.993,1,0.757,"instructor, clear, made"
196,1121,25,26,The feedback was delayed and often unhelpful.,1,Negative,-0.994,3,0.729,"feedback, delayed, often"
197,1328,1,145,The instructor was hard to follow and rarely responded to questions.,2,Negative,-0.994,7,0.797,"instructor, hard, follow"
198,1683,14,124,I didn’t gain much from this course. It felt rushed and unstructured.,2,Negative,-0.993,6,0.796,didnt gain
199,2723,63,32,I appreciated the timely feedback and engaging content.,4,Positive,0.993,2,0.781,timely feedback
200,466,55,98,"The course was okay, but I expected more practical examples.",3,Neutral,0.0,3,0.779,"course okay, practical example"
201,1593,23,83,Excellent pacing and real-world examples. Highly recommend!,5,Positive,0.994,2,0.797,realworld example
202,1473,35,117,I appreciated the timely feedback and engaging content.,5,Positive,0.993,2,0.781,timely feedback
203,2188,4,129,I appreciated the timely feedback and engaging content.,5,Positive,0.993,2,0.781,timely feedback
204,2028,20,83,The course structure and delivery exceeded my expectations.,5,Positive,0.994,1,0.78,course structure delivery
205,438,51,137,Great teaching style – the explanations were easy to follow.,5,Positive,0.993,0,0.797,great teaching style explanation
206,824,64,81,Not engaging at all. I struggled to stay focused throughout.,1,Negative,-0.994,5,0.76,"engaging, struggled, stay"
207,512,6,44,I appreciated the timely feedback and engaging content.,4,Positive,0.993,2,0.781,timely feedback
208,1627,36,104,"The instructor was fine, but the pace felt a bit off.",3,Neutral,0.0,6,0.78,fine pace
209,1631,9,12,"The instructor was fine, but the pace felt a bit off.",3,Neutral,0.0,6,0.78,fine pace
210,709,25,128,"Content was decent, but the delivery could have been better.",3,Neutral,0.0,2,0.759,decent delivery
211,1330,40,121,The instructor was very clear and made the course enjoyable.,4,Positive,0.993,1,0.757,"instructor, clear, made"
212,488,41,45,The instructor was very clear and made the course enjoyable.,4,Positive,0.993,1,0.757,"instructor, clear, made"
213,2008,38,137,Great teaching style – the explanations were easy to follow.,4,Positive,0.993,0,0.797,great teaching style explanation
214,885,44,132,The course structure and delivery exceeded my expectations.,5,Positive,0.994,1,0.78,course structure delivery
215,2946,71,69,The course structure and delivery exceeded my expectations.,4,Positive,0.994,1,0.78,course structure delivery
216,1638,42,147,I didn’t gain much from this course. It felt rushed and unstructured.,1,Negative,-0.993,6,0.796,didnt gain
217,1445,3,58,The instructor was hard to follow and rarely responded to questions.,2,Negative,-0.994,7,0.797,"instructor, hard, follow"
218,611,34,131,Excellent pacing and real-world examples. Highly recommend!,5,Positive,0.994,2,0.797,realworld example
219,652,63,68,I didn’t gain much from this course. It felt rushed and unstructured.,2,Negative,-0.993,6,0.796,didnt gain
220,2071,73,27,"The instructor was fine, but the pace felt a bit off.",3,Neutral,0.0,6,0.78,fine pace
221,1313,39,85,The course structure and delivery exceeded my expectations.,5,Positive,0.994,1,0.78,course structure delivery
222,889,59,48,The feedback was delayed and often unhelpful.,1,Negative,-0.994,3,0.729,"feedback, delayed, often"
223,2080,26,69,Not engaging at all. I struggled to stay focused throughout.,2,Negative,-0.994,5,0.76,"engaging, struggled, stay"
224,1312,3,75,The instructor was very clear and made the course enjoyable.,5,Positive,0.993,1,0.757,"instructor, clear, made"
225,47,50,6,Great teaching style – the explanations were easy to follow.,4,Positive,0.993,0,0.797,great teaching style explanation
226,2898,64,103,Not engaging at all. I struggled to stay focused throughout.,2,Negative,-0.994,5,0.76,"engaging, struggled, stay"
227,523,72,56,The instructor was hard to follow and rarely responded to questions.,2,Negative,-0.994,7,0.797,"instructor, hard, follow"
228,127,74,47,Great teaching style – the explanations were easy to follow.,4,Positive,0.993,0,0.797,great teaching style explanation
229,1320,20,143,Excellent pacing and real-world examples. Highly recommend!,5,Positive,0.994,2,0.797,realworld example
230,2024,4,37,I appreciated the timely feedback and engaging content.,4,Positive,0.993,2,0.781,timely feedback
231,275,70,43,"The course was okay, but I expected more practical examples.",3,Neutral,0.0,3,0.779,"course okay, practical example"
232,1475,58,126,The feedback was delayed and often unhelpful.,2,Negative,-0.994,3,0.729,"feedback, delayed, often"
233,1347,31,104,Not engaging at all. I struggled to stay focused throughout.,2,Negative,-0.994,5,0.76,"engaging, struggled, stay"
234,1567,6,57,Great teaching style – the explanations were easy to follow.,4,Positive,0.993,0,0.797,great teaching style explanation
235,1152,31,105,Great teaching style – the explanations were easy to follow.,5,Positive,0.993,0,0.797,great teaching style explanation
236,2111,25,54,Great teaching style – the explanations were easy to follow.,4,Positive,0.993,0,0.797,great teaching style explanation
237,1377,57,28,I appreciated the timely feedback and engaging content.,4,Positive,0.993,2,0.781,timely feedback
238,43,7,50,The feedback was delayed and often unhelpful.,1,Negative,-0.994,3,0.729,"feedback, delayed, often"
239,1265,33,21,"The instructor was fine, but the pace felt a bit off.",3,Neutral,0.0,6,0.78,fine pace
240,2247,75,125,"Decent course, though it lacked in-depth discussion.",3,Neutral,0.0,1,0.778,"decent course, indepth discussion"
241,1858,41,138,Too fast-paced and lacked clear explanations.,2,Negative,-0.993,4,0.759,clear explanation
242,399,70,63,I appreciated the timely feedback and engaging content.,5,Positive,0.993,2,0.781,timely feedback
243,356,42,126,Too fast-paced and lacked clear explanations.,2,Negative,-0.993,4,0.759,clear explanation
244,27,69,54,The course structure and delivery exceeded my expectations.,4,Positive,0.994,1,0.78,course structure delivery
245,2879,24,37,Excellent pacing and real-world examples. Highly recommend!,5,Positive,0.994,2,0.797,realworld example
246,1936,30,23,Not engaging at all. I struggled to stay focused throughout.,1,Negative,-0.994,5,0.76,"engaging, struggled, stay"
247,2070,17,16,"The course was okay, but I expected more practical examples.",3,Neutral,0.0,3,0.779,"course okay, practical example"
248,1665,13,17,Too fast-paced and lacked clear explanations.,2,Negative,-0.993,4,0.759,clear explanation
249,2282,71,95,The instructor was very clear and made the course enjoyable.,4,Positive,0.993,1,0.757,"instructor, clear, made"
250,423,48,140,The course structure and delivery exceeded my expectations.,5,Positive,0.994,1,0.78,course structure delivery
251,1936,14,146,The course structure and delivery exceeded my expectations.,4,Positive,0.994,1,0.78,course structure delivery
252,2676,31,3,The feedback was delayed and often unhelpful.,2,Negative,-0.994,3,0.729,"feedback, delayed, often"
253,1724,68,12,The feedback was delayed and often unhelpful.,2,Negative,-0.994,3,0.729,"feedback, delayed, often"
254,2949,27,145,The course structure and delivery exceeded my expectations.,5,Positive,0.994,1,0.78,course structure delivery
255,1575,23,148,Too fast-paced and lacked clear explanations.,1,Negative,-0.993,4,0.759,clear explanation
256,1871,37,18,Too fast-paced and lacked clear explanations.,2,Negative,-0.993,4,0.759,clear explanation
257,2949,10,114,"The instructor was fine, but the pace felt a bit off.",3,Neutral,0.0,6,0.78,fine pace
258,1989,28,87,Too fast-paced and lacked clear explanations.,1,Negative,-0.993,4,0.759,clear explanation
